season,game_type,team,week,gsis_id,position,full_name,first_name,last_name,report_primary_injury,report_secondary_injury,report_status,practice_primary_injury,practice_secondary_injury,practice_status,date_modified
2010.0,REG,ARI,1.0,00-0027007,RB,Chris Wells,Chris,Wells,Knee,,Questionable,Knee,,Did Not Participate In Practice,2010-09-10T12:13:53.000000+0000
2010.0,REG,ARI,1.0,00-0022288,RB,Jason Wright,Jason,Wright,Toe,,Questionable,Toe,,Limited Participation in Practice,2010-09-10T12:13:44.000000+0000
2010.0,REG,ARI,1.0,00-0025668,CB,Michael Adams,Michael,Adams,Shoulder,,Probable,Shoulder,,Full Participation in Practice,
2010.0,REG,ARI,1.0,00-0026939,LB,Will Davis,Will,Davis,Knee,,Probable,Knee,,Full Participation in Practice,
2010.0,REG,ARI,1.0,00-0022921,WR,Larry Fitzgerald,Larry,Fitzgerald,Knee,,Probable,Knee,,Full Participation in Practice,
2010.0,REG,ARI,1.0,00-0025602,TE,Ben Patrick,Ben,Patrick,Knee,,Probable,Knee,,Full Participation in Practice,
2010.0,REG,ARI,1.0,00-0013126,LB,Joey Porter,Joey,Porter,Back,,Probable,Back,,Full Participation in Practice,
2010.0,REG,ARI,1.0,00-0027691,WR,Andre Roberts,Andre,Roberts,Shoulder,,Probable,Shoulder,,Full Participation in Practice,
2010.0,REG,ATL,1.0,00-0022781,WR,Michael Jenkins,Michael,Jenkins,Shoulder,,Out,Shoulder,,Did Not Participate In Practice,2010-09-10T12:53:27.000000+0000
2010.0,REG,ATL,1.0,00-0024183,CB,Brent Grimes,Brent,Grimes,Hip,,Questionable,Hip,,Full Participation in Practice,2010-09-10T12:52:50.000000+0000
2010.0,REG,ATL,1.0,00-0027686,DT,Corey Peters,Corey,Peters,Knee,,Questionable,Knee,,Full Participation in Practice,2010-09-10T12:53:15.000000+0000
2010.0,REG,ATL,1.0,00-0027717,C,Joe Hawley,Joe,Hawley,Hip,,Questionable,Hip,,Limited Participation in Practice,2010-09-10T12:53:04.000000+0000
2010.0,REG,BAL,1.0,00-0027665,DT,Terrence Cody,Terrence,Cody,Knee,,Out,Knee,,Out (Definitely Will Not Play),2010-09-11T11:05:21.000000+0000
2010.0,REG,BAL,1.0,00-0025787,T,Jared Gaither,Jared,Gaither,Back,,Out,Back,,Out (Definitely Will Not Play),2010-09-11T11:05:28.000000+0000
2010.0,REG,BAL,1.0,00-0021147,WR,Donte' Stallworth,Donte',Stallworth,Foot,,Out,Foot,,Out (Definitely Will Not Play),2010-09-11T11:05:54.000000+0000
2010.0,REG,BAL,1.0,00-0026239,T,Oniel Cousins,Oniel,Cousins,Head,,Probable,Head,,Full Participation in Practice,
2010.0,REG,BAL,1.0,00-0027060,CB,Lardarius Webb,Lardarius,Webb,Knee,,Probable,Knee,,Full Participation in Practice,
2010.0,REG,BAL,1.0,00-0027033,LB,Paul Kruger,Paul,Kruger,Shoulder,,Probable,Shoulder,,Limited Participation in Practice,
2010.0,REG,BUF,1.0,00-0027209,LB,Antonio Coleman,Antonio,Coleman,Hamstring,,Out,Hamstring,,Did Not Participate In Practice,2010-09-10T11:54:58.000000+0000
2010.0,REG,BUF,1.0,00-0021970,LB,Kawika Mitchell,Kawika,Mitchell,Foot,,Out,Foot,,Did Not Participate In Practice,2010-09-10T11:55:09.000000+0000
2010.0,REG,BUF,1.0,00-0022810,LB,Reggie Torbor,Reggie,Torbor,Chest,,Out,Chest,,Did Not Participate In Practice,2010-09-10T11:55:21.000000+0000
2010.0,REG,BUF,1.0,00-0027018,S,Jairus Byrd,Jairus,Byrd,Groin,,Probable,Groin,,Full Participation in Practice,
2010.0,REG,CAR,1.0,00-0026159,T,Jeff Otah,Jeff,Otah,Knee,,Out,Knee,,Did Not Participate In Practice,2010-09-10T10:44:46.000000+0000
2010.0,REG,CAR,1.0,00-0025995,LB,Jordan Senn,Jordan,Senn,Ankle,,Out,Ankle,,Did Not Participate In Practice,2010-09-10T10:45:23.000000+0000
2010.0,REG,CAR,1.0,00-0026790,RB,Tyrell Sutton,Tyrell,Sutton,Shoulder,,Out,Shoulder,,Did Not Participate In Practice,2010-09-10T10:45:40.000000+0000
2010.0,REG,CAR,1.0,00-0022047,DE,Tyler Brayton,Tyler,Brayton,Ankle,,Probable,Ankle,,Full Participation in Practice,2010-09-10T10:44:31.000000+0000
2010.0,REG,CHI,1.0,00-0026210,WR,Earl Bennett,Earl,Bennett,,,,Hamstring,,Full Participation in Practice,
2010.0,REG,CHI,1.0,00-0024750,LB,Nick Roach,Nick,Roach,,,,Knee,,Full Participation in Practice,
2010.0,REG,CHI,1.0,00-0027680,S,Major Wright,Major,Wright,,,,Finger,,Full Participation in Practice,
2010.0,REG,CHI,1.0,00-0026260,S,Craig Steltz,Craig,Steltz,Ankle,,Questionable,Ankle,,Full Participation in Practice,2010-09-10T13:04:21.000000+0000
2010.0,REG,CHI,1.0,00-0022128,LB,Lance Briggs,Lance,Briggs,Ankle,,Probable,Ankle,,Full Participation in Practice,
2010.0,REG,CHI,1.0,00-0003035,RB,Desmond Clark,Desmond,Clark,Ankle,,Probable,Ankle,,Full Participation in Practice,
